date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:29:49	70/70	---MCZ	200	added ('OK')	text/plain	etag:%22121227-1741819510;gz%22	https://logipro.freevision.me/robots.txt		(from )
08:29:49	180379/180379	---MCZ	200	added ('OK')	text/html	etag:%22121122-1741811872;gz%22	https://logipro.freevision.me/	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/COURIER/New%20folder/logipro/logipro.freevision.me/index.html	(from )
08:29:50	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2013%20Mar%202025%2007:29:52%20GMT	https://logipro.freevision.me/xmlrpc.php	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/COURIER/New%20folder/logipro/logipro.freevision.me/xmlrpc.php	(from https://logipro.freevision.me/)
08:29:50	13535/13535	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Aug%202017%2008:01:42%20GMT	https://logipro.freevision.me/wp-content/themes/logistics//css/datetimepicker.css?ver=4.8.25	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/COURIER/New%20folder/logipro/logipro.freevision.me/wp-content/themes/logistics/css/datetimepicker0133.css	(from https://logipro.freevision.me/)
08:29:50	1606/1606	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202017%2003:51:38%20GMT	https://logipro.freevision.me/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.9	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/COURIER/New%20folder/logipro/logipro.freevision.me/wp-content/plugins/contact-form-7/includes/css/styles33a6.css	(from https://logipro.freevision.me/)
08:29:51	9900/9900	---MC-	200	added ('OK')	application/rss+xml	etag:%22be8265b4dbb9a72ded555cefa00cd719%22	https://logipro.freevision.me/comments/feed/	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/COURIER/New%20folder/logipro/logipro.freevision.me/comments/feed/index.html	(from https://logipro.freevision.me/)
08:29:51	123540/123540	---MC-	200	added ('OK')	application/rss+xml	etag:%22ad8c3498326ab523ff0aca29d8debdef%22	https://logipro.freevision.me/feed/	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/COURIER/New%20folder/logipro/logipro.freevision.me/feed/index.html	(from https://logipro.freevision.me/)
08:29:51	7414/7414	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Nov%202019%2006:06:55%20GMT	https://logipro.freevision.me/wp-content/plugins/freevision-tracker/css/frontend.css?ver=4.8.25	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/COURIER/New%20folder/logipro/logipro.freevision.me/wp-content/plugins/freevision-tracker/css/frontend0133.css	(from https://logipro.freevision.me/)
08:29:51	38438/38438	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20Dec%202017%2018:18:58%20GMT	https://logipro.freevision.me/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.6.4	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/COURIER/New%20folder/logipro/logipro.freevision.me/wp-content/plugins/revslider/public/assets/css/settings9d07.css	(from https://logipro.freevision.me/)
08:29:51	485416/485416	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Nov%202020%2007:47:12%20GMT	https://logipro.freevision.me/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.4.2	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/COURIER/New%20folder/logipro/logipro.freevision.me/wp-content/plugins/js_composer/assets/css/js_composer.min1e39.css	(from https://logipro.freevision.me/)
